Player,url,From,To,Pos,Ht,Wt,Birth Date,Colleges,Shoots,Height,Weight,Origin,Debut,Position
Marcus Liberty,/players/l/liberma01.html,1991,1994,F,6-8,205,"October 27, 1968",Illinois,Right,6-8,205lb,"Chicago, Ill","November 2, 1990",Small Forward
Todd Lichti,/players/l/lichtto01.html,1990,1994,G-F,6-4,205,"January 8, 1967",Stanford,Right,6-4,205lb,"Walnut Creek, California","November 3, 1989",Shooting Guard
DeAndre Liggins,/players/l/liggide01.html,2012,2018,G,6-6,209,"March 31, 1988",Kentucky,Right,6-6,209lb,"Chicago, Ill","February 20, 2012",Shooting Guard and Small Forward
Bill Ligon,/players/l/ligonbi01.html,1975,1975,G,6-4,180,"May 29, 1952",Vanderbilt,Right,6-4,180lb,"Nashville, Tennessee","October 19, 1974",Shooting Guard
Goose Ligon,/players/l/ligongo01.html,1968,1974,F-C,6-7,210,"February 22, 1944",,Right,6-7,210lb,"Kokomo, Indiana",NA,Power Forward
Damian Lillard,/players/l/lillada01.html,2013,2022,G,6-2,195,"July 15, 1990",Weber State,Right,6-2,195lb,"Oakland, California","October 31, 2012",Point Guard
Jeremy Lin,/players/l/linje01.html,2011,2019,G,6-3,200,"August 23, 1988",Harvard University,Right,6-3,200lb,"Torrance, California","October 29, 2010",Point Guard and Shooting Guard
Steve Lingenfelter,/players/l/lingest01.html,1983,1984,F,6-9,225,"June 10, 1958","Minnesota, South Dakota State",Right,6-9,225lb,"Eau Claire, Wiscons","November 3, 1982",Power Forward
Alton Lister,/players/l/listeal01.html,1982,1998,C-F,7-0,240,"October 1, 1958",Arizona State,Right,7-0,240lb,"Dallas, Texas","October 30, 1981",Center and Power Forward
Nassir Little,/players/l/littlna01.html,2020,2022,F,6-5,220,"February 11, 2000",UNC,Right,6-5,220lb,"Pensacola, Florida","October 25, 2019",Power Forward and Small Forward
Samuel Little,/players/l/littlsa01.html,1970,1970,G,6-0,180,"March 29, 1946",Delta State University,Right,6-0,180lb,NA,NA,Guard
Gene Littles,/players/l/littlge01.html,1970,1975,G,6-0,160,"June 29, 1943",High Point University,Right,6-0,160lb,Wash,NA,Point Guard
Isaiah Livers,/players/l/liveris01.html,2022,2022,F,6-7,230,"July 28, 1998",Michigan,Right,6-7,230lb,"Kalamazoo, Michigan","December 16, 2021",Small Forward
Randy Livingston,/players/l/livinra01.html,1997,2007,G,6-4,209,"April 2, 1975",LSU,Right,6-4,209lb,"New Orleans, Louisiana","November 1, 1996",Point Guard
Shaun Livingston,/players/l/livinsh01.html,2005,2019,G,6-7,192,"September 11, 1985",,Right,6-7,192lb,"Peoria, Ill","November 3, 2004",Point Guard and Shooting Guard
Ron Livingstone,/players/l/livinro01.html,1950,1951,C,6-10,220,"October 9, 1925","Saint Mary's, Wyoming",Right,6-10,220lb,"Oakland, California","November 2, 1949",Center
Horacio Llamas,/players/l/llamaho01.html,1997,1998,C,6-11,285,"July 17, 1973",Grand Canyon University,Right,6-11,285lb,"El Rosario, Mexico","March 2, 1997",Center
Bobby Lloyd,/players/l/lloydbo01.html,1968,1969,G,6-2,184,"January 3, 1946",Rutgers University,Right,6-2,184lb,"Upper Darby, Pennsylvania",NA,Point Guard
Chuck Lloyd,/players/l/lloydch01.html,1971,1971,C-F,6-8,220,"May 22, 1947",Yankton College,Right,6-8,220lb,NA,NA,Center Forward
Earl Lloyd,/players/l/lloydea01.html,1951,1960,F-C,6-5,200,"April 3, 1928",West Virginia State University,Right,6-5,200lb,"Alexandria, Virg","October 31, 1950",Small Forward
Lewis Lloyd,/players/l/lloydle01.html,1982,1990,G-F,6-6,205,"February 22, 1959",Drake University,Right,6-6,205lb,"Philadelphia, Pennsylvania","November 5, 1981",Shooting Guard
Scott Lloyd,/players/l/lloydsc01.html,1977,1983,C-F,6-10,230,"December 19, 1952",Arizona State,Right,6-10,230lb,"Chicago, Ill","October 21, 1976",Center and Power Forward
Riney Lochmann,/players/l/lochmri01.html,1968,1970,F,6-6,215,"May 26, 1944",Kansas,Right,6-6,215lb,"Wichita, Kansas",NA,Small Forward
Bob Lochmueller,/players/l/lochmbo01.html,1953,1953,F,6-5,185,"June 5, 1927",Louisville,Right,6-5,185lb,"Elberfeld, Indiana","November 1, 1952",Small Forward
Rob Lock,/players/l/lockro01.html,1989,1989,F,6-9,225,"May 22, 1966",Kentucky,Right,6-9,225lb,"Reedley, California","January 25, 1989",Power Forward
Darrell Lockhart,/players/l/lockhda01.html,1984,1984,C,6-9,245,"September 14, 1960",Auburn,Right,6-9,245lb,"Thomaston, Georgia","October 30, 1983",Center
Ian Lockhart,/players/l/lockhia01.html,1991,1991,F,6-8,240,"June 25, 1967",Tennessee,Right,6-8,240lb,"Nassau, Bahamas","November 2, 1990",Small Forward
Kevin Loder,/players/l/loderke01.html,1982,1984,F-G,6-6,205,"March 15, 1959","Kentucky State University, Alabama State University",Right,6-6,205lb,"Cassopolis, Michigan","October 30, 1981",Small Forward
Don Lofgran,/players/l/lofgrdo01.html,1951,1954,F-C,6-5,200,"November 8, 1929",San Francisco,Right,6-5,200lb,"Oakland, California","November 2, 1950",Small Forward
Zach Lofton,/players/l/loftoza01.html,2019,2019,G,6-4,180,"November 18, 1992","Illinois State, Texas Southern, New Mexico State",Right,6-4,180lb,"St. Paul, M","October 17, 2018",Shooting Guard
Henry Logan,/players/l/loganhe01.html,1969,1970,G,6-0,180,"March 14, 1946",Western Carolina University,Right,6-0,180lb,"Asheville, North Carol",NA,Shooting Guard and Point Guard
John Logan,/players/l/loganjo01.html,1947,1951,G,6-2,175,"January 1, 1921",Indiana,Right,6-2,175lb,"Richmond, Indiana","November 2, 1946",Guard
Brad Lohaus,/players/l/lohaubr01.html,1988,1998,F-C,6-11,230,"September 29, 1964",Iowa,Left,6-11,230lb,"New Ulm, M","November 6, 1987",Power Forward
Art Long,/players/l/longar01.html,2001,2003,F-C,6-9,250,"October 1, 1972",Cincinnati,Right,6-9,250lb,"Rochester, New York","February 20, 2001",Power Forward
Grant Long,/players/l/longgr01.html,1989,2003,F,6-8,225,"March 12, 1966",Eastern Michigan,Right,6-8,225lb,"Wayne, Michigan","November 5, 1988",Power Forward
John Long,/players/l/longjo01.html,1979,1997,G-F,6-5,195,"August 28, 1956",Detroit Mercy,Right,6-5,195lb,"Romulus, Michigan","October 13, 1978",Shooting Guard
Paul Long,/players/l/longpa01.html,1968,1971,G,6-2,180,"February 8, 1944",Wake Forest,Right,6-2,180lb,"Louisville, Kentucky","October 17, 1967",Shooting Guard
Shawn Long,/players/l/longsh01.html,2017,2017,C-F,6-9,255,"January 29, 1993",Louisiana,Right,6-9,255lb,"Morgan City, Louisiana","March 6, 2017",Center
Willie Long,/players/l/longwi01.html,1972,1974,F-C,6-8,225,"March 1, 1950",New Mexico,Right,6-8,225lb,"Fort Wayne, Indiana",NA,Power Forward and Small Forward
Luc Longley,/players/l/longllu01.html,1992,2001,C,7-2,265,"January 19, 1969",New Mexico,Right,7-2,265lb,"Melbourne, Australia","November 30, 1991",Center
Kevon Looney,/players/l/looneke01.html,2016,2022,F-C,6-9,222,"February 6, 1996",UCLA,Right,6-9,222lb,"Milwaukee, Wiscons","January 27, 2016",Center and Power Forward
Brook Lopez,/players/l/lopezbr01.html,2009,2022,C,7-0,282,"April 1, 1988",Stanford,Right,7-0,282lb,"North Hollywood, California","October 29, 2008",Center
Felipe López,/players/l/lopezfe01.html,1999,2002,G,6-5,199,"December 19, 1974",St. John's,Right,6-5,199lb,Santo Dom,"February 7, 1999",Shooting Guard and Point Guard
Raül López,/players/l/lopezra01.html,2004,2005,G,6-1,170,"April 15, 1980",,Right,6-1,170lb,"Vic, Spa","October 29, 2003",Point Guard
Robin Lopez,/players/l/lopezro01.html,2009,2022,C,7-0,281,"April 1, 1988",Stanford,Right,7-0,281lb,"North Hollywood, California","October 29, 2008",Center
Ryan Lorthridge,/players/l/lorthry01.html,1995,1995,G,6-4,190,"July 27, 1972",Jackson State University,Left,6-4,190lb,"Nashville, Tennessee","January 13, 1995",Shooting Guard
Jim Loscutoff,/players/l/loscuji01.html,1956,1964,F,6-5,220,"February 4, 1930",Oregon,Right,6-5,220lb,"San Francisco, California","November 5, 1955",Small Forward
Plummer Lott,/players/l/lottpl01.html,1968,1969,F-G,6-5,210,"December 11, 1945",Seattle University,Right,6-5,210lb,NA,"October 13, 1967",Small Forward
Kevin Loughery,/players/l/loughke01.html,1963,1973,G,6-3,190,"March 28, 1940","Boston College, St. John's",Right,6-3,190lb,"Brooklyn, New York","October 16, 1962",Shooting Guard and Point Guard
Didi Louzada,/players/l/louzama01.html,2021,2022,G,6-5,188,"February 7, 1999",,Right,6-5,188lb,"Cachoeiro de Itapemirim, Brazil","May 12, 2021",Small Forward and Shooting Guard
Bob Love,/players/l/lovebo01.html,1967,1977,F,6-8,215,"December 8, 1942",Southern University and A&M College,Right,6-8,215lb,"Bastrop, Louisiana","October 18, 1966",Power Forward and Small Forward
Kevin Love,/players/l/loveke01.html,2009,2022,F,6-8,251,"September 7, 1988",UCLA,Right,6-8,251lb,"Santa Monica, California","October 29, 2008",Power Forward and Center
Stan Love,/players/l/lovest01.html,1972,1975,F,6-9,215,"April 9, 1949",Oregon,Right,6-9,215lb,"Los Angeles, California","October 15, 1971",Power Forward
Clyde Lovellette,/players/l/lovelcl01.html,1954,1964,C-F,6-9,234,"September 7, 1929",Kansas,Right,6-9,234lb,"Petersburg, Indiana","October 30, 1953",Center
Sidney Lowe,/players/l/lowesi01.html,1984,1990,G,6-0,195,"January 21, 1960",NC State,Right,6-0,195lb,Wash,"October 28, 1983",Point Guard and Shooting Guard
Charlie Lowery,/players/l/lowerch01.html,1972,1972,G,6-3,185,"November 12, 1949",University of Puget Sound,Right,6-3,185lb,NA,"November 16, 1971",Point Guard
Kyle Lowry,/players/l/lowryky01.html,2007,2022,G,6-0,196,"March 25, 1986",Villanova,Right,6-0,196lb,"Philadelphia, Pennsylvania","November 1, 2006",Point Guard
Jordan Loyd,/players/l/loydjo01.html,2019,2019,G,6-4,210,"July 27, 1993","Furman University, University of Indianapolis",Right,6-4,210lb,"Atlanta, Georgia","October 29, 2018",Point Guard
Al Lucas,/players/l/lucasal01.html,1949,1949,F-G,6-3,195,"July 4, 1922",Fordham,Right,6-3,195lb,NA,NA,Forward Guard
Jerry Lucas,/players/l/lucasje01.html,1964,1974,F-C,6-8,230,"March 30, 1940",Ohio State,Right,6-8,230lb,"Middletown, Ohio","October 16, 1963",Power Forward and Center
John Lucas,/players/l/lucasjo01.html,1977,1990,G,6-3,175,"October 31, 1953",Maryland,Left,6-3,175lb,"Durham, North Carol","October 21, 1976",Point Guard and Shooting Guard
Kalin Lucas,/players/l/lucaska01.html,2015,2019,G,6-1,195,"May 24, 1989",Michigan State,Right,6-1,195lb,Sterl,"November 19, 2014",Point Guard
Maurice Lucas,/players/l/lucasma01.html,1975,1988,F-C,6-9,215,"February 18, 1952",Marquette,Right,6-9,215lb,"Pittsburgh, Pennsylvania","October 23, 1976",Power Forward and Center
John Lucas III,/players/l/lucasjo02.html,2006,2017,G,5-11,166,"November 21, 1982","Baylor, Oklahoma State",Right,5-11,166lb,Wash,"December 31, 2005",Point Guard
Ted Luckenbill,/players/l/luckete01.html,1962,1963,F,6-6,205,"July 27, 1939",Houston,Right,6-6,205lb,NA,"October 20, 1961",Power Forward
Tyronn Lue,/players/l/luety01.html,1999,2009,G,6-0,175,"May 3, 1977",Nebraska,Right,6-0,175lb,"Mexico, Missouri","February 11, 1999",Point Guard
Jim Luisi,/players/l/luisiji01.html,1954,1954,G,6-2,180,"November 2, 1928",St. Francis College,Right,6-2,180lb,"New York, New York","January 2, 1954",Point Guard
Al Lujack,/players/l/lujacal01.html,1947,1947,F,6-3,220,"October 5, 1920",Georgetown,Right,6-3,220lb,NA,NA,Forward
Phil Lumpkin,/players/l/lumpkph01.html,1975,1976,G,6-0,165,"December 20, 1951",Miami University,Right,6-0,165lb,"Dayton, Ohio","October 19, 1974",Point Guard
Ray Lumpp,/players/l/lumppra01.html,1949,1953,G,6-1,178,"July 11, 1923",NYU,Left,6-1,178lb,"Brooklyn, New York","November 1, 1948",Point Guard and Shooting Guard
Timothé Luwawu-Cabarrot,/players/l/luwawti01.html,2017,2022,F,6-7,220,"May 9, 1995",,Right,6-7,220lb,"Cannes, France","October 29, 2016",Small Forward
Tyler Lydon,/players/l/lydonty01.html,2018,2019,F,6-10,225,"April 9, 1996",Syracuse,Right,6-10,225lb,"Hudson, New York","November 20, 2017",Power Forward
Trey Lyles,/players/l/lylestr01.html,2016,2022,F,6-9,234,"November 5, 1995",Kentucky,Right,6-9,234lb,"Saskatoon, Canada","October 28, 2015",Power Forward
R.B. Lynam,/players/l/lynamrb01.html,1968,1968,G,6-1,190,,Oklahoma Baptist University,Right,6-1,190lb,NA,NA,Guard
George Lynch,/players/l/lynchge01.html,1994,2005,F,6-8,218,"September 3, 1970",UNC,Right,6-8,218lb,"Roanoke, Virg","November 6, 1993",Small Forward and Shooting Guard
Kevin Lynch,/players/l/lynchke01.html,1992,1993,G-F,6-5,195,"December 24, 1968",Minnesota,Right,6-5,195lb,Bloom,"December 6, 1991",Shooting Guard
Lonnie Lynn,/players/l/lynnlo01.html,1970,1970,F,6-7,215,"May 24, 1943",Wilberforce University,Right,6-7,215lb,"Chicago, Ill",NA,Small Forward
Mike Lynn,/players/l/lynnmi01.html,1970,1971,F,6-7,215,"November 25, 1945",UCLA,Right,6-7,215lb,Cov,"October 18, 1969",Small Forward
Sheldon Mac,/players/m/mcclesh01.html,2017,2017,G,6-5,200,"December 21, 1992",Miami (FL),Right,6-5,200lb,"Houston, Texas","October 27, 2016",Shooting Guard
Todd MacCulloch,/players/m/maccuto01.html,2000,2003,C,7-0,280,"January 27, 1976",Washington,Right,7-0,280lb,W,"November 2, 1999",Center
Ronnie MacGilvray,/players/m/macgiro01.html,1955,1955,G,6-2,185,"July 20, 1930",St. John's,Right,6-2,185lb,Born:,"November 24, 1954",Point Guard
Don MacLean,/players/m/macledo01.html,1993,2001,F,6-10,235,"January 16, 1970",UCLA,Right,6-10,235lb,"Palo Alto, California","November 6, 1992",Small Forward and Power Forward
Mike Macaluso,/players/m/macalmi01.html,1974,1974,F,6-5,210,"July 20, 1951",Canisius,Right,6-5,210lb,NA,"October 13, 1973",Small Forward
Ed Macauley,/players/m/macaued01.html,1950,1959,C-F,6-8,185,"March 22, 1928",Saint Louis,Right,6-8,185lb,"St. Louis, Missouri","November 1, 1949",Center and Power Forward
Scott Machado,/players/m/machasc01.html,2013,2019,G,6-1,205,"June 8, 1990",Iona College,Right,6-1,205lb,"Queens, New York","November 28, 2012",Point Guard
Arvydas Macijauskas,/players/m/macijar01.html,2006,2006,G,6-4,214,"January 19, 1980",,Right,6-4,214lb,"Klaipeda, Lithuania","November 1, 2005",Shooting Guard
Ollie Mack,/players/m/mackol01.html,1980,1982,G,6-3,185,"June 6, 1957",East Carolina University,Right,6-3,185lb,"New York, New York","October 26, 1979",Shooting Guard
Sam Mack,/players/m/macksa01.html,1993,2002,F-G,6-7,220,"May 26, 1970","Iowa State, Tyler Junior College, Houston",Right,6-7,220lb,"Chicago, Ill","November 7, 1992",Small Forward
Shelvin Mack,/players/m/macksh01.html,2012,2019,G,6-3,203,"April 22, 1990",Butler,Right,6-3,203lb,Lex,"December 26, 2011",Point Guard and Shooting Guard
Malcolm Mackey,/players/m/mackema01.html,1994,1994,F-C,6-9,248,"July 11, 1970",Georgia Tech,Right,6-9,248lb,"Chattanooga, Tennessee","January 13, 1994",Center
Rudy Macklin,/players/m/macklru01.html,1982,1984,F-G,6-7,205,"February 19, 1958",LSU,Right,6-7,205lb,"Louisville, Kentucky","October 31, 1981",Small Forward
Vernon Macklin,/players/m/macklve01.html,2012,2012,F,6-10,227,"September 20, 1986","Georgetown, Florida",Right,6-10,227lb,"Portsmouth, Virg","December 28, 2011",Center
Johnny Macknowski,/players/m/macknjo01.html,1950,1951,G-F,6-0,180,"January 7, 1923",Seton Hall,Right,6-0,180lb,Russia,"November 3, 1949",Guard Forward
Daryl Macon,/players/m/maconda01.html,2019,2020,G,6-2,185,"November 29, 1995",Arkansas,Right,6-2,185lb,"Little Rock, Arkansas","October 26, 2018",Point Guard and Shooting Guard
Mark Macon,/players/m/maconma01.html,1992,1999,G,6-5,185,"April 14, 1969",Temple,Right,6-5,185lb,Sag,"November 1, 1991",Shooting Guard and Point Guard
J.P. Macura,/players/m/macurjp01.html,2019,2020,G,6-5,203,"June 5, 1995",Xavier,Right,6-5,203lb,"Lakeville, M","January 2, 2019",Shooting Guard
Kyle Macy,/players/m/macyky01.html,1981,1987,G,6-3,175,"April 9, 1957","Purdue, Kentucky",Right,6-3,175lb,"Fort Wayne, Indiana","October 10, 1980",Point Guard
Jack Maddox,/players/m/maddoja01.html,1949,1949,F-G,6-3,185,"December 10, 1919",West Texas A&M University,Right,6-3,185lb,Medic,NA,Forward Guard
Tito Maddox,/players/m/maddoti01.html,2003,2003,G,6-4,190,"June 7, 1981",Fresno State,Right,6-4,190lb,"Compton, California","November 29, 2002",Shooting Guard
Gerald Madkins,/players/m/madkige01.html,1994,1998,G,6-4,200,"April 18, 1969",UCLA,Right,6-4,200lb,"Merced, California","November 7, 1993",Shooting Guard
Mark Madsen,/players/m/madsema01.html,2001,2009,F,6-9,240,"January 28, 1976",Stanford,Right,6-9,240lb,"Walnut Creek, California","October 31, 2000",Center and Power Forward
Norm Mager,/players/m/magerno01.html,1951,1951,F,6-5,185,"March 23, 1926",City College of New York,Right,6-5,185lb,"Brooklyn, New York","November 1, 1950",Forward
Josh Magette,/players/m/magetjo01.html,2018,2020,G,6-1,160,"November 28, 1989",Alabama-Huntsville,Left,6-1,160lb,Birm,"October 18, 2017",Point Guard
Corey Maggette,/players/m/maggeco01.html,2000,2013,F,6-6,218,"November 12, 1979",Duke,Right,6-6,218lb,"Melrose Park, Ill","November 2, 1999",Small Forward  Shooting Guard  and Power Forward
Dave Magley,/players/m/magleda01.html,1983,1983,F,6-8,202,"November 24, 1959",Kansas,Right,6-8,202lb,"South Bend, Indiana","October 29, 1982",Small Forward
Jamaal Magloire,/players/m/magloja01.html,2001,2012,C,6-11,259,"May 21, 1978",Kentucky,Right,6-11,259lb,"Toronto, Canada","October 31, 2000",Center
Will Magnay,/players/m/magnawi01.html,2021,2021,C,6-10,234,"June 10, 1998",Tulsa,Right,6-10,234lb,"Brisbane, Australia","March 23, 2021",Center
Randolph Mahaffey,/players/m/mahafra01.html,1968,1971,F,6-7,210,"September 28, 1945",Clemson,Left,6-7,210lb,"LaGrange, Georgia",NA,Power Forward and Small Forward
Ian Mahinmi,/players/m/mahinia01.html,2008,2020,C,6-11,262,"November 5, 1986",,Right,6-11,262lb,"Rouen, France","October 30, 2007",Center
John Mahnken,/players/m/mahnkjo01.html,1947,1953,C,6-8,220,"June 16, 1922",Georgetown,Right,6-8,220lb,"New Jersey, New Jersey","November 2, 1946",Center
Brian Mahoney,/players/m/mahonbr01.html,1973,1973,G,6-3,175,"December 17, 1948",Manhattan College,Right,6-3,175lb,NA,NA,Shooting Guard
Mo Mahoney,/players/m/mahonmo01.html,1953,1954,F,6-2,205,"November 20, 1927",Brown University,Right,6-2,205lb,"Brooklyn, New York","February 25, 1953",Forward
Rick Mahorn,/players/m/mahorri01.html,1981,1999,C-F,6-10,240,"September 21, 1958",Hampton,Right,6-10,240lb,"Hartford, Connecticut","October 10, 1980",Power Forward and Center
Dan Majerle,/players/m/majerda01.html,1989,2002,G-F,6-6,215,"September 9, 1965",Central Michigan University,Right,6-6,215lb,"Traverse City, Michigan","November 4, 1988",Shooting Guard and Small Forward
Renaldo Major,/players/m/majorre01.html,2007,2007,F,6-7,200,"May 7, 1982","South Plains College, Fresno State",Right,6-7,200lb,"Chicago, Ill","January 17, 2007",Power Forward
Thon Maker,/players/m/makerth01.html,2017,2021,F-C,7-0,221,"February 25, 1997",,Right,7-0,221lb,"Wau, South Sudan","October 30, 2016",Center and Power Forward
Lionel Malamed,/players/m/malamli01.html,1949,1949,G,5-9,150,"November 15, 1924",City College of New York,Right,5-9,150lb,"New York, New York",NA,Guard
Théo Maledon,/players/m/maledth01.html,2021,2022,G,6-4,175,"June 12, 2001",,Right,6-4,175lb,"Rouen, France","December 26, 2020",Point Guard
Jeff Malone,/players/m/malonje01.html,1984,1996,G,6-4,205,"June 28, 1961",Mississippi State,Right,6-4,205lb,"Mobile, Alabama","October 28, 1983",Shooting Guard
Karl Malone,/players/m/malonka01.html,1986,2004,F,6-9,250,"July 24, 1963",Louisiana Tech,Right,6-9,250lb,"Summerfield, Louisiana","October 25, 1985",Power Forward
Moses Malone,/players/m/malonmo01.html,1975,1995,C-F,6-10,215,"March 23, 1955",,Right,6-10,215lb,"Petersburg, Virg","October 21, 1976",Center and Power Forward
Matt Maloney,/players/m/malonma01.html,1997,2003,G,6-3,192,"December 6, 1971","Vanderbilt, Penn",Right,6-3,192lb,Silver Spr,"November 1, 1996",Point Guard
Steve Malovic,/players/m/malovst01.html,1980,1980,F,6-10,230,"July 21, 1956","USC, San Diego State",Right,6-10,230lb,"Cleveland, Ohio","November 3, 1979",Power Forward
Mike Maloy,/players/m/maloymi01.html,1971,1973,F,6-7,215,"May 10, 1949",Davidson,Right,6-7,215lb,"New York, New York",NA,Power Forward
Sandro Mamukelashvili,/players/m/mamuksa01.html,2022,2022,F,6-11,240,"May 23, 1999",Seton Hall,Left,6-11,240lb,"New York, New York","October 19, 2021",Power Forward
Ted Manakas,/players/m/manakte01.html,1974,1974,G,6-2,180,"February 22, 1951",Princeton,Right,6-2,180lb,NA,"November 17, 1973",Shooting Guard
John Mandic,/players/m/mandijo01.html,1949,1950,F-C,6-4,205,"October 3, 1919",Oregon State,Right,6-4,205lb,"Los Angeles, California","November 5, 1948",Forward Center
Karim Mané,/players/m/maneka01.html,2021,2021,G,6-3,190,"May 16, 2000",Vanier College,Right,6-3,190lb,"Dakar, Senegal","December 31, 2020",Point Guard
Frank Mangiapane,/players/m/mangifr01.html,1947,1947,G,5-10,195,"August 5, 1925",NYU,Right,5-10,195lb,"New York, New York","January 29, 1947",Guard
Terance Mann,/players/m/mannte01.html,2020,2022,G-F,6-5,215,"October 18, 1996",Florida State,Right,6-5,215lb,"Brooklyn, New York","October 24, 2019",Small Forward and Shooting Guard
Tre Mann,/players/m/manntr01.html,2022,2022,G,6-3,178,"February 3, 2001",Florida,Right,6-3,178lb,Ga,"October 20, 2021",Point Guard
Danny Manning,/players/m/mannida01.html,1989,2003,F-C,6-10,230,"May 17, 1966",Kansas,Right,6-10,230lb,"Hattiesburg, Mississippi","November 12, 1988",Power Forward
Ed Manning,/players/m/mannied01.html,1968,1976,F,6-7,210,"January 2, 1944",Jackson State University,Right,6-7,210lb,"Summit, Mississippi","October 18, 1967",Small Forward and Power Forward
Guy Manning,/players/m/mannigu01.html,1968,1969,F,6-6,195,"February 4, 1944",Prairie View A&M University,Right,6-6,195lb,"Oakwood, Texas",NA,Small Forward
Rich Manning,/players/m/manniri01.html,1996,1997,C,6-11,253,"June 23, 1970","Syracuse, Washington",Right,6-11,253lb,"Tacoma, Wash","January 27, 1996",Power Forward
Nico Mannion,/players/m/mannini01.html,2021,2021,G,6-2,190,"March 14, 2001",Arizona,Right,6-2,190lb,"Siena, Italy","January 4, 2021",Point Guard
Pace Mannion,/players/m/mannipa01.html,1984,1989,G,6-7,190,"September 22, 1960",Utah,Right,6-7,190lb,"Salt Lake City, Utah","October 28, 1983",Small Forward
Nick Mantis,/players/m/mantini01.html,1960,1963,G,6-3,190,"December 7, 1935",Northwestern,Right,6-3,190lb,"East Chicago, Indiana","February 5, 1960",Shooting Guard
Pete Maravich,/players/m/maravpe01.html,1971,1980,G,6-5,197,"June 22, 1947",LSU,Right,6-5,197lb,"Aliquippa, Pennsylvania","October 17, 1970",Shooting Guard
Press Maravich,/players/m/maravpr01.html,1947,1947,G,6-0,185,"August 29, 1915",Davis & Elkins College,Right,6-0,185lb,"Pittsburgh, Pennsylvania","November 2, 1946",Guard
Devyn Marble,/players/m/marblde01.html,2015,2016,G-F,6-6,200,"September 21, 1992",Iowa,Right,6-6,200lb,"Southfield, Michigan","October 28, 2014",Shooting Guard
Roy Marble,/players/m/marblro01.html,1990,1994,G-F,6-6,190,"December 13, 1966",Iowa,Right,6-6,190lb,Fl,"November 3, 1989",Small Forward and Shooting Guard
Stephon Marbury,/players/m/marbust01.html,1997,2009,G,6-2,180,"February 20, 1977",Georgia Tech,Right,6-2,180lb,"Brooklyn, New York","November 1, 1996",Point Guard
Šarūnas Marčiulionis,/players/m/marcisa01.html,1990,1997,G,6-5,200,"June 13, 1964",,Left,6-5,200lb,"Kaunas, Lithuania","November 3, 1989",Shooting Guard and Small Forward
Saul Mariaschin,/players/m/mariasa01.html,1948,1948,G,5-11,165,"September 1, 1924",Harvard University,Right,5-11,165lb,NA,NA,Guard
Jack Marin,/players/m/marinja01.html,1967,1977,F-G,6-7,200,"October 12, 1944",Duke,Left,6-7,200lb,"Sharon, Pennsylvania","October 19, 1966",Small Forward
Shawn Marion,/players/m/mariosh01.html,2000,2015,F,6-7,220,"May 7, 1978","Vincennes University, UNLV",Right,6-7,220lb,"Waukegan, Ill","November 2, 1999",Small Forward and Power Forward
Boban Marjanović,/players/m/marjabo01.html,2016,2022,C,7-3,290,"August 15, 1988",,Right,7-3,290lb,"Zajecar, Serbia","October 30, 2015",Center
Lauri Markkanen,/players/m/markkla01.html,2018,2022,F-C,7-0,240,"May 22, 1997",Arizona,Right,7-0,240lb,"Vantaa, F","October 19, 2017",Power Forward
Damir Markota,/players/m/markoda01.html,2007,2007,C,6-10,225,"December 26, 1985",,Right,6-10,225lb,"Sarajevo, Bosnia and Herzegov","November 3, 2006",Power Forward
Sean Marks,/players/m/marksse01.html,1999,2011,F-C,6-10,250,"August 23, 1975",California,Right,6-10,250lb,"Auckland, New Zealand","March 16, 1999",Power Forward and Center
Harvey Marlatt,/players/m/marlaha01.html,1971,1973,G,6-3,185,"August 26, 1948",Eastern Michigan,Right,6-3,185lb,NA,"October 16, 1970",Shooting Guard
Jim Marsh,/players/m/marshji01.html,1972,1972,F,6-7,215,"April 26, 1946",USC,Right,6-7,215lb,NA,"October 15, 1971",Small Forward
Ricky Marsh,/players/m/marshri01.html,1978,1978,G,6-3,200,"March 10, 1954",Manhattan College,Right,6-3,200lb,"New York, New York","October 18, 1977",Shooting Guard
Donny Marshall,/players/m/marshdo02.html,1996,2003,F,6-7,230,"July 17, 1972",UConn,Right,6-7,230lb,"Detroit, Michigan","November 3, 1995",Small Forward
Donyell Marshall,/players/m/marshdo01.html,1995,2009,F,6-9,218,"May 18, 1973",UConn,Right,6-9,218lb,Read,"November 4, 1994",Power Forward and Small Forward
Kendall Marshall,/players/m/marshke01.html,2013,2016,G,6-4,200,"August 19, 1991",UNC,Left,6-4,200lb,"Dumfries, Virg","November 4, 2012",Point Guard
Naji Marshall,/players/m/marshna01.html,2021,2022,F,6-7,220,"January 24, 1998",Xavier,Right,6-7,220lb,"Atlantic City, New Jersey","January 15, 2021",Small Forward
Rawle Marshall,/players/m/marshra01.html,2006,2007,G-F,6-9,190,"February 20, 1982","Ball State University, Oakland",Right,6-9,190lb,"Georgetown, Guyana","November 19, 2005",Shooting Guard and Small Forward
Tom Marshall,/players/m/marshto01.html,1955,1959,F-G,6-4,215,"January 6, 1931",Western Kentucky,Right,6-4,215lb,"Coldwater, Tennessee","October 30, 1954",Small Forward
Vester Marshall,/players/m/marshve01.html,1974,1974,F,6-7,200,"December 22, 1948",Oklahoma,Right,6-7,200lb,NA,"December 30, 1973",Small Forward
