Player,url,From,To,Pos,Ht,Wt,Birth Date,Colleges
Andrew Levane,/players/l/levanan01.html,1949,1953,F-G,6-2,190,"April 11, 1920",St. John's
Fat Lever,/players/l/leverfa01.html,1983,1994,G,6-3,170,"August 18, 1960",Arizona State
Cliff Levingston,/players/l/levincl01.html,1983,1995,F,6-8,210,"January 4, 1961",Wichita State
Bobby Lewis,/players/l/lewisbo01.html,1968,1971,G,6-3,175,"March 20, 1945",UNC
Cedric Lewis,/players/l/lewisce01.html,1996,1996,F-C,6-10,235,"September 24, 1969",Maryland
Freddie Lewis,/players/l/lewisfr01.html,1949,1950,F-G,6-2,195,"January 6, 1921",Eastern Kentucky University
Freddie Lewis,/players/l/lewisfr01.html,1967,1977,G,6-0,175,"July 1, 1943",Arizona State
Freddie Lewis,/players/l/lewisfr02.html,1949,1950,F-G,6-2,195,"January 6, 1921",Eastern Kentucky University
Freddie Lewis,/players/l/lewisfr02.html,1967,1977,G,6-0,175,"July 1, 1943",Arizona State
Grady Lewis,/players/l/lewisgr01.html,1947,1949,F-C,6-7,215,"March 25, 1917",Oklahoma
Kira Lewis Jr.,/players/l/lewiski01.html,2021,2022,G,6-1,170,"April 6, 2001",Alabama
Martin Lewis,/players/l/lewisma01.html,1996,1997,F,6-5,210,"April 28, 1975","Butler County Community College, Seward County Community College"
Mike Lewis,/players/l/lewismi01.html,1969,1974,C-F,6-8,225,"March 18, 1946",Duke
Quincy Lewis,/players/l/lewisqu01.html,2000,2004,F,6-7,215,"June 26, 1977",Minnesota
Ralph Lewis,/players/l/lewisra01.html,1988,1990,F-G,6-6,200,"March 28, 1963",La Salle
Rashard Lewis,/players/l/lewisra02.html,1999,2014,F,6-10,215,"August 8, 1979",
Reggie Lewis,/players/l/lewisre01.html,1988,1993,G-F,6-7,195,"November 21, 1965",Northeastern University
Scottie Lewis,/players/l/lewissc01.html,2022,2022,G,6-5,189,"March 12, 2000",Florida
Marcus Liberty,/players/l/liberma01.html,1991,1994,F,6-8,205,"October 27, 1968",Illinois
Todd Lichti,/players/l/lichtto01.html,1990,1994,G-F,6-4,205,"January 8, 1967",Stanford
DeAndre Liggins,/players/l/liggide01.html,2012,2018,G,6-6,209,"March 31, 1988",Kentucky
Bill Ligon,/players/l/ligonbi01.html,1975,1975,G,6-4,180,"May 29, 1952",Vanderbilt
Goose Ligon,/players/l/ligongo01.html,1968,1974,F-C,6-7,210,"February 22, 1944",
Damian Lillard,/players/l/lillada01.html,2013,2022,G,6-2,195,"July 15, 1990",Weber State
Jeremy Lin,/players/l/linje01.html,2011,2019,G,6-3,200,"August 23, 1988",Harvard University
Steve Lingenfelter,/players/l/lingest01.html,1983,1984,F,6-9,225,"June 10, 1958","Minnesota, South Dakota State"
Alton Lister,/players/l/listeal01.html,1982,1998,C-F,7-0,240,"October 1, 1958",Arizona State
Nassir Little,/players/l/littlna01.html,2020,2022,F,6-5,220,"February 11, 2000",UNC
Samuel Little,/players/l/littlsa01.html,1970,1970,G,6-0,180,"March 29, 1946",Delta State University
Gene Littles,/players/l/littlge01.html,1970,1975,G,6-0,160,"June 29, 1943",High Point University
Isaiah Livers,/players/l/liveris01.html,2022,2022,F,6-7,230,"July 28, 1998",Michigan
Randy Livingston,/players/l/livinra01.html,1997,2007,G,6-4,209,"April 2, 1975",LSU
Shaun Livingston,/players/l/livinsh01.html,2005,2019,G,6-7,192,"September 11, 1985",
Ron Livingstone,/players/l/livinro01.html,1950,1951,C,6-10,220,"October 9, 1925","Saint Mary's, Wyoming"
Horacio Llamas,/players/l/llamaho01.html,1997,1998,C,6-11,285,"July 17, 1973",Grand Canyon University
Bobby Lloyd,/players/l/lloydbo01.html,1968,1969,G,6-2,184,"January 3, 1946",Rutgers University
Chuck Lloyd,/players/l/lloydch01.html,1971,1971,C-F,6-8,220,"May 22, 1947",Yankton College
Earl Lloyd,/players/l/lloydea01.html,1951,1960,F-C,6-5,200,"April 3, 1928",West Virginia State University
Lewis Lloyd,/players/l/lloydle01.html,1982,1990,G-F,6-6,205,"February 22, 1959",Drake University
Scott Lloyd,/players/l/lloydsc01.html,1977,1983,C-F,6-10,230,"December 19, 1952",Arizona State
Riney Lochmann,/players/l/lochmri01.html,1968,1970,F,6-6,215,"May 26, 1944",Kansas
Bob Lochmueller,/players/l/lochmbo01.html,1953,1953,F,6-5,185,"June 5, 1927",Louisville
Rob Lock,/players/l/lockro01.html,1989,1989,F,6-9,225,"May 22, 1966",Kentucky
Darrell Lockhart,/players/l/lockhda01.html,1984,1984,C,6-9,245,"September 14, 1960",Auburn
Ian Lockhart,/players/l/lockhia01.html,1991,1991,F,6-8,240,"June 25, 1967",Tennessee
Kevin Loder,/players/l/loderke01.html,1982,1984,F-G,6-6,205,"March 15, 1959","Kentucky State University, Alabama State University"
Don Lofgran,/players/l/lofgrdo01.html,1951,1954,F-C,6-5,200,"November 8, 1929",San Francisco
Zach Lofton,/players/l/loftoza01.html,2019,2019,G,6-4,180,"November 18, 1992","Illinois State, Texas Southern, New Mexico State"
Henry Logan,/players/l/loganhe01.html,1969,1970,G,6-0,180,"March 14, 1946",Western Carolina University
John Logan,/players/l/loganjo01.html,1947,1951,G,6-2,175,"January 1, 1921",Indiana
Brad Lohaus,/players/l/lohaubr01.html,1988,1998,F-C,6-11,230,"September 29, 1964",Iowa
Art Long,/players/l/longar01.html,2001,2003,F-C,6-9,250,"October 1, 1972",Cincinnati
Grant Long,/players/l/longgr01.html,1989,2003,F,6-8,225,"March 12, 1966",Eastern Michigan
John Long,/players/l/longjo01.html,1979,1997,G-F,6-5,195,"August 28, 1956",Detroit Mercy
Paul Long,/players/l/longpa01.html,1968,1971,G,6-2,180,"February 8, 1944",Wake Forest
Shawn Long,/players/l/longsh01.html,2017,2017,C-F,6-9,255,"January 29, 1993",Louisiana
Willie Long,/players/l/longwi01.html,1972,1974,F-C,6-8,225,"March 1, 1950",New Mexico
Luc Longley,/players/l/longllu01.html,1992,2001,C,7-2,265,"January 19, 1969",New Mexico
Kevon Looney,/players/l/looneke01.html,2016,2022,F-C,6-9,222,"February 6, 1996",UCLA
Brook Lopez,/players/l/lopezbr01.html,2009,2022,C,7-0,282,"April 1, 1988",Stanford
Felipe López,/players/l/lopezfe01.html,1999,2002,G,6-5,199,"December 19, 1974",St. John's
Raül López,/players/l/lopezra01.html,2004,2005,G,6-1,170,"April 15, 1980",
Robin Lopez,/players/l/lopezro01.html,2009,2022,C,7-0,281,"April 1, 1988",Stanford
Ryan Lorthridge,/players/l/lorthry01.html,1995,1995,G,6-4,190,"July 27, 1972",Jackson State University
Jim Loscutoff,/players/l/loscuji01.html,1956,1964,F,6-5,220,"February 4, 1930",Oregon
Plummer Lott,/players/l/lottpl01.html,1968,1969,F-G,6-5,210,"December 11, 1945",Seattle University
Kevin Loughery,/players/l/loughke01.html,1963,1973,G,6-3,190,"March 28, 1940","Boston College, St. John's"
Didi Louzada,/players/l/louzama01.html,2021,2022,G,6-5,188,"February 7, 1999",
Bob Love,/players/l/lovebo01.html,1967,1977,F,6-8,215,"December 8, 1942",Southern University and A&M College
Kevin Love,/players/l/loveke01.html,2009,2022,F,6-8,251,"September 7, 1988",UCLA
Stan Love,/players/l/lovest01.html,1972,1975,F,6-9,215,"April 9, 1949",Oregon
Clyde Lovellette,/players/l/lovelcl01.html,1954,1964,C-F,6-9,234,"September 7, 1929",Kansas
Sidney Lowe,/players/l/lowesi01.html,1984,1990,G,6-0,195,"January 21, 1960",NC State
Charlie Lowery,/players/l/lowerch01.html,1972,1972,G,6-3,185,"November 12, 1949",University of Puget Sound
Kyle Lowry,/players/l/lowryky01.html,2007,2022,G,6-0,196,"March 25, 1986",Villanova
Jordan Loyd,/players/l/loydjo01.html,2019,2019,G,6-4,210,"July 27, 1993","Furman University, University of Indianapolis"
Al Lucas,/players/l/lucasal01.html,1949,1949,F-G,6-3,195,"July 4, 1922",Fordham
Jerry Lucas,/players/l/lucasje01.html,1964,1974,F-C,6-8,230,"March 30, 1940",Ohio State
John Lucas,/players/l/lucasjo01.html,1977,1990,G,6-3,175,"October 31, 1953",Maryland
Kalin Lucas,/players/l/lucaska01.html,2015,2019,G,6-1,195,"May 24, 1989",Michigan State
Maurice Lucas,/players/l/lucasma01.html,1975,1988,F-C,6-9,215,"February 18, 1952",Marquette
John Lucas III,/players/l/lucasjo02.html,2006,2017,G,5-11,166,"November 21, 1982","Baylor, Oklahoma State"
Ted Luckenbill,/players/l/luckete01.html,1962,1963,F,6-6,205,"July 27, 1939",Houston
Tyronn Lue,/players/l/luety01.html,1999,2009,G,6-0,175,"May 3, 1977",Nebraska
Jim Luisi,/players/l/luisiji01.html,1954,1954,G,6-2,180,"November 2, 1928",St. Francis College
Al Lujack,/players/l/lujacal01.html,1947,1947,F,6-3,220,"October 5, 1920",Georgetown
Phil Lumpkin,/players/l/lumpkph01.html,1975,1976,G,6-0,165,"December 20, 1951",Miami University
Ray Lumpp,/players/l/lumppra01.html,1949,1953,G,6-1,178,"July 11, 1923",NYU
Timothé Luwawu-Cabarrot,/players/l/luwawti01.html,2017,2022,F,6-7,220,"May 9, 1995",
Tyler Lydon,/players/l/lydonty01.html,2018,2019,F,6-10,225,"April 9, 1996",Syracuse
Trey Lyles,/players/l/lylestr01.html,2016,2022,F,6-9,234,"November 5, 1995",Kentucky
R.B. Lynam,/players/l/lynamrb01.html,1968,1968,G,6-1,190,,Oklahoma Baptist University
George Lynch,/players/l/lynchge01.html,1994,2005,F,6-8,218,"September 3, 1970",UNC
Kevin Lynch,/players/l/lynchke01.html,1992,1993,G-F,6-5,195,"December 24, 1968",Minnesota
Lonnie Lynn,/players/l/lynnlo01.html,1970,1970,F,6-7,215,"May 24, 1943",Wilberforce University
Mike Lynn,/players/l/lynnmi01.html,1970,1971,F,6-7,215,"November 25, 1945",UCLA
Sheldon Mac,/players/m/mcclesh01.html,2017,2017,G,6-5,200,"December 21, 1992",Miami (FL)
Todd MacCulloch,/players/m/maccuto01.html,2000,2003,C,7-0,280,"January 27, 1976",Washington
Ronnie MacGilvray,/players/m/macgiro01.html,1955,1955,G,6-2,185,"July 20, 1930",St. John's
Don MacLean,/players/m/macledo01.html,1993,2001,F,6-10,235,"January 16, 1970",UCLA
Mike Macaluso,/players/m/macalmi01.html,1974,1974,F,6-5,210,"July 20, 1951",Canisius
Ed Macauley,/players/m/macaued01.html,1950,1959,C-F,6-8,185,"March 22, 1928",Saint Louis
Scott Machado,/players/m/machasc01.html,2013,2019,G,6-1,205,"June 8, 1990",Iona College
Arvydas Macijauskas,/players/m/macijar01.html,2006,2006,G,6-4,214,"January 19, 1980",
Ollie Mack,/players/m/mackol01.html,1980,1982,G,6-3,185,"June 6, 1957",East Carolina University
Sam Mack,/players/m/macksa01.html,1993,2002,F-G,6-7,220,"May 26, 1970","Iowa State, Tyler Junior College, Houston"
Shelvin Mack,/players/m/macksh01.html,2012,2019,G,6-3,203,"April 22, 1990",Butler
Malcolm Mackey,/players/m/mackema01.html,1994,1994,F-C,6-9,248,"July 11, 1970",Georgia Tech
Rudy Macklin,/players/m/macklru01.html,1982,1984,F-G,6-7,205,"February 19, 1958",LSU
Vernon Macklin,/players/m/macklve01.html,2012,2012,F,6-10,227,"September 20, 1986","Georgetown, Florida"
Johnny Macknowski,/players/m/macknjo01.html,1950,1951,G-F,6-0,180,"January 7, 1923",Seton Hall
Daryl Macon,/players/m/maconda01.html,2019,2020,G,6-2,185,"November 29, 1995",Arkansas
Mark Macon,/players/m/maconma01.html,1992,1999,G,6-5,185,"April 14, 1969",Temple
J.P. Macura,/players/m/macurjp01.html,2019,2020,G,6-5,203,"June 5, 1995",Xavier
Kyle Macy,/players/m/macyky01.html,1981,1987,G,6-3,175,"April 9, 1957","Purdue, Kentucky"
Jack Maddox,/players/m/maddoja01.html,1949,1949,F-G,6-3,185,"December 10, 1919",West Texas A&M University
Tito Maddox,/players/m/maddoti01.html,2003,2003,G,6-4,190,"June 7, 1981",Fresno State
Gerald Madkins,/players/m/madkige01.html,1994,1998,G,6-4,200,"April 18, 1969",UCLA
Mark Madsen,/players/m/madsema01.html,2001,2009,F,6-9,240,"January 28, 1976",Stanford
Norm Mager,/players/m/magerno01.html,1951,1951,F,6-5,185,"March 23, 1926",City College of New York
Josh Magette,/players/m/magetjo01.html,2018,2020,G,6-1,160,"November 28, 1989",Alabama-Huntsville
Corey Maggette,/players/m/maggeco01.html,2000,2013,F,6-6,218,"November 12, 1979",Duke
Dave Magley,/players/m/magleda01.html,1983,1983,F,6-8,202,"November 24, 1959",Kansas
Jamaal Magloire,/players/m/magloja01.html,2001,2012,C,6-11,259,"May 21, 1978",Kentucky
Will Magnay,/players/m/magnawi01.html,2021,2021,C,6-10,234,"June 10, 1998",Tulsa
Randolph Mahaffey,/players/m/mahafra01.html,1968,1971,F,6-7,210,"September 28, 1945",Clemson
Ian Mahinmi,/players/m/mahinia01.html,2008,2020,C,6-11,262,"November 5, 1986",
John Mahnken,/players/m/mahnkjo01.html,1947,1953,C,6-8,220,"June 16, 1922",Georgetown
Brian Mahoney,/players/m/mahonbr01.html,1973,1973,G,6-3,175,"December 17, 1948",Manhattan College
Mo Mahoney,/players/m/mahonmo01.html,1953,1954,F,6-2,205,"November 20, 1927",Brown University
Rick Mahorn,/players/m/mahorri01.html,1981,1999,C-F,6-10,240,"September 21, 1958",Hampton
Dan Majerle,/players/m/majerda01.html,1989,2002,G-F,6-6,215,"September 9, 1965",Central Michigan University
Renaldo Major,/players/m/majorre01.html,2007,2007,F,6-7,200,"May 7, 1982","South Plains College, Fresno State"
Thon Maker,/players/m/makerth01.html,2017,2021,F-C,7-0,221,"February 25, 1997",
Lionel Malamed,/players/m/malamli01.html,1949,1949,G,5-9,150,"November 15, 1924",City College of New York
Théo Maledon,/players/m/maledth01.html,2021,2022,G,6-4,175,"June 12, 2001",
Jeff Malone,/players/m/malonje01.html,1984,1996,G,6-4,205,"June 28, 1961",Mississippi State
Karl Malone,/players/m/malonka01.html,1986,2004,F,6-9,250,"July 24, 1963",Louisiana Tech
Moses Malone,/players/m/malonmo01.html,1975,1995,C-F,6-10,215,"March 23, 1955",
Matt Maloney,/players/m/malonma01.html,1997,2003,G,6-3,192,"December 6, 1971","Vanderbilt, Penn"
Steve Malovic,/players/m/malovst01.html,1980,1980,F,6-10,230,"July 21, 1956","USC, San Diego State"
Mike Maloy,/players/m/maloymi01.html,1971,1973,F,6-7,215,"May 10, 1949",Davidson
Sandro Mamukelashvili,/players/m/mamuksa01.html,2022,2022,F,6-11,240,"May 23, 1999",Seton Hall
Ted Manakas,/players/m/manakte01.html,1974,1974,G,6-2,180,"February 22, 1951",Princeton
John Mandic,/players/m/mandijo01.html,1949,1950,F-C,6-4,205,"October 3, 1919",Oregon State
Karim Mané,/players/m/maneka01.html,2021,2021,G,6-3,190,"May 16, 2000",Vanier College
Frank Mangiapane,/players/m/mangifr01.html,1947,1947,G,5-10,195,"August 5, 1925",NYU
Terance Mann,/players/m/mannte01.html,2020,2022,G-F,6-5,215,"October 18, 1996",Florida State
Tre Mann,/players/m/manntr01.html,2022,2022,G,6-3,178,"February 3, 2001",Florida
Danny Manning,/players/m/mannida01.html,1989,2003,F-C,6-10,230,"May 17, 1966",Kansas
Ed Manning,/players/m/mannied01.html,1968,1976,F,6-7,210,"January 2, 1944",Jackson State University
Guy Manning,/players/m/mannigu01.html,1968,1969,F,6-6,195,"February 4, 1944",Prairie View A&M University
Rich Manning,/players/m/manniri01.html,1996,1997,C,6-11,253,"June 23, 1970","Syracuse, Washington"
Nico Mannion,/players/m/mannini01.html,2021,2021,G,6-2,190,"March 14, 2001",Arizona
Pace Mannion,/players/m/mannipa01.html,1984,1989,G,6-7,190,"September 22, 1960",Utah
Nick Mantis,/players/m/mantini01.html,1960,1963,G,6-3,190,"December 7, 1935",Northwestern
Pete Maravich,/players/m/maravpe01.html,1971,1980,G,6-5,197,"June 22, 1947",LSU
Press Maravich,/players/m/maravpr01.html,1947,1947,G,6-0,185,"August 29, 1915",Davis & Elkins College
Devyn Marble,/players/m/marblde01.html,2015,2016,G-F,6-6,200,"September 21, 1992",Iowa
Roy Marble,/players/m/marblro01.html,1990,1994,G-F,6-6,190,"December 13, 1966",Iowa
Stephon Marbury,/players/m/marbust01.html,1997,2009,G,6-2,180,"February 20, 1977",Georgia Tech
Šarūnas Marčiulionis,/players/m/marcisa01.html,1990,1997,G,6-5,200,"June 13, 1964",
Saul Mariaschin,/players/m/mariasa01.html,1948,1948,G,5-11,165,"September 1, 1924",Harvard University
Jack Marin,/players/m/marinja01.html,1967,1977,F-G,6-7,200,"October 12, 1944",Duke
Shawn Marion,/players/m/mariosh01.html,2000,2015,F,6-7,220,"May 7, 1978","Vincennes University, UNLV"
Boban Marjanović,/players/m/marjabo01.html,2016,2022,C,7-3,290,"August 15, 1988",
Lauri Markkanen,/players/m/markkla01.html,2018,2022,F-C,7-0,240,"May 22, 1997",Arizona
Damir Markota,/players/m/markoda01.html,2007,2007,C,6-10,225,"December 26, 1985",
Sean Marks,/players/m/marksse01.html,1999,2011,F-C,6-10,250,"August 23, 1975",California
Harvey Marlatt,/players/m/marlaha01.html,1971,1973,G,6-3,185,"August 26, 1948",Eastern Michigan
Jim Marsh,/players/m/marshji01.html,1972,1972,F,6-7,215,"April 26, 1946",USC
Ricky Marsh,/players/m/marshri01.html,1978,1978,G,6-3,200,"March 10, 1954",Manhattan College
Donny Marshall,/players/m/marshdo02.html,1996,2003,F,6-7,230,"July 17, 1972",UConn
Donyell Marshall,/players/m/marshdo01.html,1995,2009,F,6-9,218,"May 18, 1973",UConn
Kendall Marshall,/players/m/marshke01.html,2013,2016,G,6-4,200,"August 19, 1991",UNC
Naji Marshall,/players/m/marshna01.html,2021,2022,F,6-7,220,"January 24, 1998",Xavier
Rawle Marshall,/players/m/marshra01.html,2006,2007,G-F,6-9,190,"February 20, 1982","Ball State University, Oakland"
Tom Marshall,/players/m/marshto01.html,1955,1959,F-G,6-4,215,"January 6, 1931",Western Kentucky
Vester Marshall,/players/m/marshve01.html,1974,1974,F,6-7,200,"December 22, 1948",Oklahoma
Bill Martin,/players/m/martibi01.html,1986,1988,F,6-7,205,"August 16, 1962",Georgetown
Bob Martin,/players/m/martibo01.html,1994,1995,C,7-0,250,"October 7, 1969",Minnesota
Brian Martin,/players/m/martibr01.html,1986,1986,F,6-9,212,"August 18, 1962",Kansas
Caleb Martin,/players/m/martica02.html,2020,2022,F,6-5,205,"September 28, 1995","NC State, Nevada"
Cartier Martin,/players/m/martica01.html,2009,2015,F,6-7,220,"November 20, 1984",Kansas State
Cody Martin,/players/m/martico01.html,2020,2022,G-F,6-5,205,"September 28, 1995","NC State, Nevada"
Cuonzo Martin,/players/m/marticu01.html,1996,1997,G-F,6-5,213,"September 23, 1971",Purdue
Darrick Martin,/players/m/martida01.html,1995,2008,G,5-11,170,"March 6, 1971",UCLA
Dino Martin,/players/m/martidi01.html,1947,1948,G,5-8,160,"May 25, 1920",Georgetown
Don Martin,/players/m/martido01.html,1947,1949,C-F,6-7,210,"February 7, 1920",Central Missouri State University
Fernando Martín,/players/m/martife01.html,1987,1987,C,6-9,220,"March 25, 1962",
Jarell Martin,/players/m/martija01.html,2016,2019,F,6-10,239,"May 24, 1994",LSU
Jeff Martin,/players/m/martije01.html,1990,1991,G,6-5,195,"January 14, 1967",Murray State
Jeremiah Martin,/players/m/martije02.html,2020,2021,G,6-3,185,"June 19, 1996",Memphis
Kelan Martin,/players/m/martike03.html,2020,2022,F,6-5,230,"August 3, 1995",Butler
Kenyon Martin,/players/m/martike01.html,2001,2015,F,6-9,234,"December 30, 1977",Cincinnati
Kenyon Martin Jr.,/players/m/martike04.html,2021,2022,F,6-6,215,"January 6, 2001",
Kevin Martin,/players/m/martike02.html,2005,2016,G,6-7,199,"February 1, 1983",Western Carolina University
LaRue Martin,/players/m/martila01.html,1973,1976,C,6-11,208,"March 30, 1950",Loyola Chicago
Maurice Martin,/players/m/martima01.html,1987,1988,F-G,6-6,200,"July 2, 1964",Saint Joseph's
Phil Martin,/players/m/martiph01.html,1955,1955,G,6-3,190,"April 2, 1928",Toledo
Slater Martin,/players/m/martisl01.html,1950,1960,G,5-10,170,"October 22, 1925",Texas
Whitey Martin,/players/m/martiwh01.html,1962,1962,G,6-2,185,"April 11, 1939",St. Bonaventure
Jamal Mashburn,/players/m/mashbja01.html,1994,2004,F,6-8,240,"November 29, 1972",Kentucky
Al Masino,/players/m/masinal01.html,1953,1954,G,5-10,174,"February 5, 1928",Canisius
Anthony Mason,/players/m/masonan01.html,1990,2003,F,6-7,250,"December 14, 1966",Tennessee State
Desmond Mason,/players/m/masonde01.html,2001,2010,F,6-7,224,"October 11, 1977",Oklahoma State
Frank Mason III,/players/m/masonfr01.html,2018,2021,G,5-11,190,"April 3, 1994",Kansas
Roger Mason,/players/m/masonro01.html,2003,2014,G,6-5,200,"September 10, 1980",Virginia
Tony Massenburg,/players/m/masseto01.html,1991,2005,F,6-9,220,"July 31, 1967",Maryland
Eddie Mast,/players/m/masted01.html,1971,1973,F-C,6-9,220,"October 3, 1948",Temple
Yante Maten,/players/m/matenya01.html,2019,2019,F,6-8,240,"August 14, 1996",Georgia
Garrison Mathews,/players/m/mathega01.html,2020,2022,G,6-5,215,"October 24, 1996",Lipscomb
Mangok Mathiang,/players/m/mathima01.html,2018,2018,C-F,6-10,230,"October 8, 1992",Louisville
Dakota Mathias,/players/m/mathida01.html,2021,2022,G,6-4,200,"July 11, 1995",Purdue
Johnny Mathis,/players/m/mathijo01.html,1968,1968,F,6-6,220,"July 14, 1943",Savannah State University
Wes Matthews,/players/m/matthwe01.html,1981,1990,G,6-1,170,"August 24, 1959",Wisconsin
Wesley Matthews,/players/m/matthwe02.html,2010,2022,G,6-4,220,"October 14, 1986",Marquette
Ariel Maughan,/players/m/maughar01.html,1947,1951,F,6-4,190,"February 23, 1923",Utah State University
Marlon Maxey,/players/m/maxeyma01.html,1993,1994,F,6-8,250,"February 19, 1969","Minnesota, Texas-El Paso"
Tyrese Maxey,/players/m/maxeyty01.html,2021,2022,G,6-2,200,"November 4, 2000",Kentucky
Jason Maxiell,/players/m/maxieja01.html,2006,2015,F,6-7,260,"February 18, 1983",Cincinnati
Cedric Maxwell,/players/m/maxwece01.html,1978,1988,F,6-8,205,"November 21, 1955",UNC Charlotte
Vernon Maxwell,/players/m/maxweve01.html,1989,2001,G,6-4,180,"September 12, 1965",Florida
Don May,/players/m/maydo01.html,1969,1975,F,6-4,200,"January 3, 1946",Dayton
Scott May,/players/m/maysc01.html,1977,1983,F,6-7,215,"March 19, 1954",Indiana
Sean May,/players/m/mayse01.html,2006,2010,F,6-9,266,"April 4, 1984",UNC
Lee Mayberry,/players/m/maybele01.html,1993,1999,G,6-1,172,"June 12, 1970",Arkansas
Clyde Mayes,/players/m/mayescl01.html,1976,1977,F,6-8,225,"March 17, 1953",Furman University
Tharon Mayes,/players/m/mayesth01.html,1992,1992,G,6-3,175,"September 9, 1968",Florida State
Bill Mayfield,/players/m/mayfibi01.html,1981,1981,F,6-7,205,"October 17, 1957",Iowa
Ken Mayfield,/players/m/mayfike01.html,1976,1976,G,6-2,185,"May 11, 1948",Tuskegee University
Eric Maynor,/players/m/maynoer01.html,2010,2014,G,6-3,175,"June 11, 1987",VCU
O.J. Mayo,/players/m/mayooj01.html,2009,2016,G,6-5,210,"November 5, 1987",USC
Skylar Mays,/players/m/mayssk01.html,2021,2022,G,6-4,205,"September 5, 1997",LSU
Travis Mays,/players/m/maystr01.html,1991,1993,G,6-2,190,"June 19, 1968",Texas
Matt Mazza,/players/m/mazzama01.html,1950,1950,F,6-3,210,"September 23, 1923",Michigan State
Luc Mbah a Moute,/players/m/mbahalu01.html,2009,2020,F,6-8,230,"September 9, 1986",UCLA
Bob McAdoo,/players/m/mcadobo01.html,1973,1986,C-F,6-9,210,"September 25, 1951","Vincennes University, UNC"
James Michael McAdoo,/players/m/mcadoja01.html,2015,2018,F,6-9,230,"January 4, 1993",UNC
Ken McBride,/players/m/mcbrike01.html,1955,1955,G-F,6-3,190,"May 23, 1929",University of Maryland Eastern Shore
Miles McBride,/players/m/mcbrimi01.html,2022,2022,G,6-2,200,"September 8, 2000",West Virginia
Tahjere McCall,/players/m/mccalta01.html,2019,2019,G,6-5,195,"August 17, 1994",Tennessee State
Ray McCallum,/players/m/mccalra01.html,2014,2016,G,6-3,190,"June 12, 1991",Detroit Mercy
Bob McCann,/players/m/mccanbo01.html,1990,1998,F,6-6,244,"April 22, 1964","Upsala College, Morehead State University"
Brendan McCann,/players/m/mccanbr01.html,1958,1960,G,6-2,178,"July 5, 1935",St. Bonaventure
Mel McCants,/players/m/mccanme01.html,1990,1990,F,6-8,240,"August 19, 1967",Purdue
Rashad McCants,/players/m/mccanra01.html,2006,2009,G,6-4,207,"September 25, 1984",UNC
Mike McCarron,/players/m/mccarmi01.html,1947,1950,G,5-11,180,"March 2, 1922",Seton Hall
Andre McCarter,/players/m/mccaran01.html,1977,1981,G,6-3,190,"August 25, 1953",UCLA
Willie McCarter,/players/m/mccarwi01.html,1970,1972,G,6-3,175,"July 26, 1946",Drake University
Johnny McCarthy,/players/m/mccarjo01.html,1957,1964,G,6-1,185,"April 25, 1934",Canisius
Howie McCarty,/players/m/mccarho01.html,1947,1947,F-G,6-2,190,,Wayne State University
Kelly McCarty,/players/m/mccarke01.html,1999,1999,G-F,6-7,200,"August 24, 1975",Southern Miss
Walter McCarty,/players/m/mccarwa01.html,1997,2006,F,6-10,230,"February 1, 1974",Kentucky
Amal McCaskill,/players/m/mccasam01.html,1997,2004,F-C,6-11,235,"October 28, 1973",Marquette
Patrick McCaw,/players/m/mccawpa01.html,2017,2021,G,6-7,181,"October 25, 1995",UNLV
Dwayne McClain,/players/m/mccladw01.html,1986,1986,G,6-6,185,"February 7, 1963",Villanova
Ted McClain,/players/m/mcclate01.html,1972,1979,G,6-1,180,"August 30, 1946",Tennessee State
Dan McClintock,/players/m/mcclida01.html,2001,2001,C,7-0,270,"April 19, 1977",Northern Arizona University
Jack McCloskey,/players/m/mccloja01.html,1953,1953,G,6-2,190,"September 19, 1925",Penn
George McCloud,/players/m/mccloge01.html,1990,2002,G-F,6-6,205,"May 27, 1967",Florida State
Mac McClung,/players/m/mccluma01.html,2022,2022,G,6-2,185,"January 6, 1999","Georgetown, Texas Tech"
CJ McCollum,/players/m/mccolcj01.html,2014,2022,G,6-3,190,"September 19, 1991",Lehigh
John McConathy,/players/m/mcconjo01.html,1952,1952,F,6-5,195,"April 9, 1930",Northwestern State University
Bucky McConnell,/players/m/mcconbu01.html,1953,1953,G,5-10,170,"July 1, 1928",
T.J. McConnell,/players/m/mccontj01.html,2016,2022,G,6-1,190,"March 25, 1992","Duquesne, Arizona"
Keith McCord,/players/m/mccorke01.html,1981,1981,G,6-7,210,"June 22, 1957","Alabama, UAB"
Tim McCormick,/players/m/mccorti01.html,1985,1992,C,6-11,240,"March 10, 1962",Michigan
Jelani McCoy,/players/m/mccoyje01.html,1999,2008,C,6-10,245,"December 6, 1977",UCLA
Paul McCracken,/players/m/mccrapa01.html,1973,1977,G,6-4,180,"September 11, 1950",Cal State Northridge
Chris McCray,/players/m/mccrach01.html,2007,2007,G,6-5,192,"May 27, 1984",Maryland
Rodney McCray,/players/m/mccraro01.html,1984,1993,F-G,6-7,220,"August 29, 1961",Louisville
Scooter McCray,/players/m/mccrasc01.html,1984,1987,F-G,6-9,215,"February 8, 1960",Louisville
Erik McCree,/players/m/mccreer01.html,2018,2018,F,6-7,219,"December 20, 1993",Louisiana Tech
Chris McCullough,/players/m/mcculch01.html,2016,2018,F,6-11,200,"February 5, 1995",Syracuse
